title,director,type,countries,releaseYear
"Letters to Juliet","Gary Winick","Movie","United States","2010"
"Level 16","Danishka Esterhazy","Movie","Canada","2018"
"Love Don't Cost a Thing","Troy Byer","Movie","United States","2003"
"Love in a Puff","Pang Ho-cheung","Movie","Hong Kong","2010"
"Major Dad","","TV Show","United States","1992"
"Mars Attacks!","Tim Burton","Movie","United States","1996"
"Marshall","Reginald Hudlin","Movie","United States, China, Hong Kong","2017"
"My Boss's Daughter","David Zucker","Movie","United States","2003"
"Mystery Men","Kinka Usher","Movie","United States","1999"
"Oldsters","","TV Show","","2019"
"Once Upon a Time in America","Sergio Leone","Movie","Italy, United States","1984"
"Open Season 2","Matthew O'Callaghan, Todd Wilderman","Movie","United States, Canada","2008"
"Osmosis Jones","Bobby Farrelly, Peter Farrelly","Movie","United States","2001"
"Poseidon","Wolfgang Petersen","Movie","United States","2006"
"Rhyme & Reason","Peter Spirer","Movie","United States","1997"
"Same Kind of Different as Me","Michael Carney","Movie","United States","2017"
"School of Rock","Richard Linklater","Movie","United States, Germany","2003"
"Snervous Tyler Oakley","Amy Rice","Movie","United States","2015"
"Tears of the Sun","Antoine Fuqua","Movie","United States","2003"
"The Blue Lagoon","Randal Kleiser","Movie","United States","1980"
"The Golden Child","Michael Ritchie","Movie","United States","1986"
"The Guns of Navarone","J. Lee Thompson","Movie","United Kingdom, United States","1961"
"The Interview","Evan Goldberg, Seth Rogen","Movie","United States","2014"
"The Nutty Professor","Tom Shadyac","Movie","United States","1996"
"The Nutty Professor II: The Klumps","Peter Segal","Movie","","2000"
"Turning Point: 9/11 and the War on Terror","","TV Show","","2021"
"Welcome Home Roscoe Jenkins","Malcolm D. Lee","Movie","United States","2008"
"In the Line of Fire","Wolfgang Petersen","Movie","United States","1993"
"Sparking Joy","","TV Show","United States","2021"
"Untold: Crime & Penalties","Chapman Way, Maclain Way","Movie","","2021"
"Hometown Cha-Cha-Cha","","TV Show","","2021"
"The Ingenuity of the Househusband","","TV Show","","2021"
"2 Alone in Paris","Ramzy Bedia, Éric Judor","Movie","France","2008"
"Bread Barbershop","","TV Show","","2020"
"Thimmarusu","Sharan Koppisetty","Movie","India","2021"
"Wind River","Taylor Sheridan","Movie","United Kingdom, Canada, United States","2017"
"C Kkompany","Sachin Yardi","Movie","India","2008"
"D.P.","","TV Show",", South Korea","2021"
"Deadly Sins","","TV Show","","2002"
"EMI: Liya Hai To Chukana Padega","Saurabh Kabra","Movie","India","2008"
"He's All That","Mark Waters","Movie","","2021"
"I Heart Arlo","","TV Show","","2021"
"King of Boys: The Return of the King","Kemi Adetiba","TV Show","Nigeria","2021"
"Koi Aap Sa","Partho Mitra","Movie","India","2006"
"Krishna Cottage","Santram Varma","Movie","India","2004"
"Kucch To Hai","Anil V. Kumar, Anurag Basu","Movie","India","2003"
"Kyaa Kool Hai Hum","Sangeeth Sivan","Movie","India","2005"
"Kyaa Kool Hain Hum 3","Umesh Ghadge","Movie","India","2016"
"Kyaa Super Kool Hain Hum","Sachin Yardi","Movie","India","2012"
"Kyo Kii... Main Jhuth Nahin Bolta","David Dhawan","Movie","India","2001"
"LSD: Love, Sex Aur Dhokha","Dibakar Banerjee","Movie","India","2010"
"Mission Istaanbul: Darr Ke Aagey Jeet Hai","Apoorva Lakhia","Movie","India","2008"
"Once Upon a Time in Mumbaai","Milan Luthria","Movie","India","2010"
"Once Upon a Time in Mumbai Dobaara!","Milan Luthria","Movie","India","2013"
"Ragini MMS","Pawan Kripalani","Movie","India","2011"
"Ragini MMS 2","Bhushan Patel","Movie","India","2014"
"Rebellion","","TV Show","Ireland","2016"
"RIDE ON TIME","","TV Show","","2021"
"SAS: Rise of the Black Swan","Magnus Martens","Movie","","2021"
"Shootout at Lokhandwala","Apoorva Lakhia","Movie","India","2007"
"Shor In the City","Raj Nidimoru, Krishna D.K.","Movie","India","2011"
"The Dirty Picture","Milan Luthria","Movie","India","2011"
"Titletown High","","TV Show","","2021"
"EDENS ZERO","","TV Show","Japan","2021"
"Family Reunion","","TV Show","United States","2021"
"Bob Ross: Happy Accidents, Betrayal & Greed","Joshua Rofé","Movie","","2021"
"Clickbait","Brad Anderson","TV Show","","2021"
"John of God: The Crimes of a Spiritual Healer","Mauricio Dias, Tatiana Villela","TV Show","","2021"
"Motel Makeover","","TV Show","","2021"
"Open Your Eyes","","TV Show","","2021"
"Post Mortem: No One Dies in Skarnes","","TV Show","","2021"
"Really Love","Angel Kristi Williams","Movie","United States","2020"
"The November Man","Roger Donaldson","Movie","United States, United Kingdom","2014"
"The Old Ways","Christopher Alender","Movie","United States","2020"
"The River Runner","Rush Sturges","Movie","","2021"
"The Water Man","David Oyelowo","Movie","United States","2021"
"Wheel of Fortune","","TV Show","United States","2019"
"Count Me In","Mark Lo","Movie","United Kingdom","2021"
"Oggy Oggy","","TV Show","","2021"
"Untold: Caitlyn Jenner","Crystal Moselle","Movie","","2021"
"Boomika","Rathindran R Prasad","Movie","","2021"
"Boomika (Hindi)","Rathindran R Prasad","Movie","","2021"
"Boomika (Malayalam)","Rathindran R Prasad","Movie","","2021"
"Boomika (Telugu)","Rathindran R Prasad","Movie","","2021"
"The Witcher: Nightmare of the Wolf","Han Kwang Il","Movie","","2021"
"Manifest","","TV Show","United States","2021"
"Comedy Premium League","","TV Show","","2021"
"Everything Will Be Fine","","TV Show","","2021"
"Gunshot","Karim El Shenawy","Movie","","2018"
"Korean Cold Noodle Rhapsody","","TV Show","","2021"
"Man in Love","Yin Chen-hao","Movie","","2021"
"Sweet Girl","Brian Andrew Mendoza","Movie","United States","2021"
"The Chair","","TV Show","","2021"
"The Loud House Movie","Dave Needham","Movie","","2021"
"A Faraway Land","Veronica Velasco","Movie","","2020"
"Like Crazy","Drake Doremus","Movie","United States","2011"
"Black Island","Miguel Alexandre","Movie","","2021"
"Bombay","Mani Ratnam","Movie","India","1995"
"Go! Go! Cory Carson","","TV Show","United States","2021"
"Memories of a Murderer: The Nilsen Tapes","Michael Harte","Movie","","2021"
"Nneka The Pretty Serpent","Tosin Igho","Movie","","2020"
"O Kadhal Kanmani","Mani Ratnam","Movie","","2015"
"Out of my league","Alice Filippi","Movie","","2020"
"Pahuna","Paakhi Tyrewala","Movie","India, Nepal","2018"
"The Defeated","","TV Show","","2020"
"The Secret Diary of an Exchange Student","Bruno Garotti","Movie","","2021"
"Untold: Deal With the Devil","Laura Brownson","Movie","","2021"
"Mother Goose Club","","TV Show","United States","2016"
"Walk of Shame","Steve Brill","Movie","United States","2014"
"Rascal Does Not Dream of Bunny Girl Senpai","","TV Show","Japan","2018"
"The Creative Indians","","TV Show","India","2020"
"The Piano","Jane Campion","Movie","New Zealand, Australia, France, United States","1993"
"Unroyal","Moses Inwang","Movie","","2020"
"Winx Club","","TV Show","Italy","2015"
"Beckett","Ferdinando Cito Filomarino","Movie","Italy, Brazil, Greece","2021"
"Brand New Cherry Flavor","","TV Show","United States","2021"
"Fast & Furious Spy Racers","","TV Show","United States","2021"
"Gone for Good","Juan Carlos Medina","TV Show","France","2021"
"Grace and Frankie","","TV Show","United States","2021"
"The Kingdom","","TV Show","Argentina","2021"
"Valeria","Inma Torrente","TV Show","Spain","2021"
"AlRawabi School for Girls","","TV Show","Jordan","2021"
"Lokillo: Nothing's the Same","Julián Gaviria","Movie","Colombia","2021"
"Monster Hunter: Legends of the Guild","Steven Yamamoto","Movie","United States, Japan","2021"
"Bake Squad","","TV Show","United States","2021"
"Brother Jekwu","Charles Uwagbai","Movie","Nigeria","2016"
"La diosa del asfalto","Julián Hernández","Movie","Mexico","2020"
"Misha and the Wolves","Sam Hobkinson","Movie","Belgium, United Kingdom","2021"
"The Kissing Booth 3","Vince Marcello","Movie","United Kingdom, United States","2021"
"The Railway Man","Jonathan Teplitzky","Movie","Switzerland, United Kingdom, Australia","2013"
"Gabby's Dollhouse","","TV Show","United States","2021"
"I Need Romance","Sakon Tiacharoen","TV Show","","2021"
"Las muñecas de la mafia","","TV Show","Colombia","2018"
"The Crowned Clown","","TV Show","South Korea","2019"
"Untold: Malice at the Palace","Floyd Russ","Movie","United States","2021"
"SHAMAN KING","","TV Show","Japan","2021"
"Quartet","Dustin Hoffman","Movie","United Kingdom","2012"
"Slay","Adze Ugah","Movie","South Africa","2021"
"Takizawa Kabuki ZERO 2020 The Movie","Hideaki Takizawa","Movie","","2020"
"The Paper Tigers","Quoc Bao Tran","Movie","United States","2021"
"Hit & Run","","TV Show","Israel, United States","2021"
"Navarasa","Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon","TV Show","India","2021"
"Quam's Money","Kayode Kasum","Movie","Nigeria","2020"
"The Swarm","Just Philippot","Movie","France","2021"
"Vivo","Kirk DeMicco, Brandon Jeffords","Movie","Canada, United States","2021"
"Chennai Express","Rohit Shetty","Movie","India","2013"
"City of God: 10 Years Later","Cavi Borges, Luciano Vidigal","Movie","Brazil","2013"
"Esperando la carroza","Alejandro Doria","Movie","Argentina","1985"
"Lady Boss: The Jackie Collins Story","Laura Fairrie","Movie","United Kingdom","2021"
"Tango Feroz","Marcelo Piñeyro","Movie","Argentina, Spain","1993"
"'76","Izu Ojukwu","Movie","Nigeria","2016"
"Aftermath","Peter Winther","Movie","United States","2021"
"American Masters: Inventing David Geffen","Susan Lacy","Movie","United States","2012"
